GEOID,clusterID,GEOID_Numeric,NAME,population_race,race_white_per,race_black_per,race_asian_per,race_amindian_per,race_pacisl_per,race_other_per,race_hisp_per,race_twoplus_per,renter_per,popdense,land_area,miles_b_chts,miles_w_chts,PM_mean,income,nh_type,nh_type_str,miles_biked_walked_total,miles_bike_walked_percapita,nonwhite_per,pop_dens_sqm,geometry
06037101122,2,6037101122,"Census Tract 1011.22, Los Angeles County, California",3664,0.6651200873362445,0.007096069868995633,0.13509825327510916,0.001091703056768559,2.729257641921397e-4,0.0027292576419213972,0.15693231441048036,0.03165938864628821,0.14943396226415095,1.385757,1.0208708,511.27,694.6179,7.655314380027518,80489,1,1,1205.8879,0.3291178766375546,0.33487991266375544,3589.0927627668457,"list(list(c(-118.277285, -118.277422, -118.278167, -118.28498, -118.284913, -118.288467, -118.291309, -118.297919, -118.297917, -118.297322, -118.302753, -118.303306, -118.299696, -118.299749, -118.29697, -118.289899, -118.290225, -118.285616, -118.285271, -118.278953, -118.279483, -118.277285, -118.277285, 34.261956, 34.259903, 34.255768, 34.255889, 34.262463, 34.26282, 34.262854, 34.263222, 34.266849, 34.267855, 34.272001, 34.273462, 34.275262, 34.276706, 34.278807, 34.278946, 34.271, 34.270541, 
34.266434, 34.266541, 34.26363, 34.26363, 34.261956)))"
06037101210,1,6037101210,"Census Tract 1012.10, Los Angeles County, California",5990,0.48247078464106846,0.030550918196994993,0.07479131886477462,0.001001669449081803,5.008347245409015e-4,8.347245409015025e-4,0.3704507512520868,0.03939899833055092,0.8306976744186046,9.205599,0.25123321,1115.682,2334.852,8.072108058027318,39433,2,2,3450.5339999999997,0.576049081803005,0.5175292153589316,23842.389308324327,"list(list(c(-118.28862, -118.28968, -118.289998, -118.290104, -118.294696, -118.297919, -118.299451, -118.291044, -118.288618, -118.287333, -118.285924, -118.285925, -118.285924, -118.285924, -118.28862, 34.248614, 34.249081, 34.24928, 34.249364, 34.252336, 34.254511, 34.255978, 34.255927, 34.255912, 34.255904, 34.255895, 34.252274, 34.250068, 34.248018, 34.248614)))"
06037101220,1,6037101220,"Census Tract 1012.20, Los Angeles County, California",3363,0.49420160570918825,0.010704727921498661,0.08088016651798989,0.0032708890871245913,5.947071067499256e-4,8.920606601248885e-4,0.37823371989295274,0.031222123104371096,0.6147672552166934,4.811386,0.26987268,628.2571,1322.22,8.141151752421464,45687,2,2,1950.4771,0.5799812964614928,0.5057983942908117,12461.431812957133,"list(list(c(-118.278022, -118.277123, -118.276103, -118.279448, -118.27975, -118.281792, -118.285924, -118.285924, -118.285925, -118.285924, -118.28498, -118.278167, -118.278224, -118.276916, -118.276915, -118.278224, -118.278224, -118.278192, -118.278068, -118.278025, -118.278022, 34.249612, 34.248674, 34.246484, 34.247566, 34.247663, 34.24778, 34.248018, 34.250068, 34.252274, 34.255895, 34.255889, 34.255768, 34.253291, 34.253084, 34.251582, 34.251657, 34.250679, 34.25064, 34.250624, 34.250578, 
34.249612)))"
06037101300,2,6037101300,"Census Tract 1013, Los Angeles County, California",4199,0.7597046915932365,0.009764229578471064,0.07549416527744701,0.0011907597046915933,7.144558228149559e-4,0.0016670635865682305,0.11979042629197428,0.03167420814479638,0.14526588845654995,1.627266,0.99629844,563.7454,786.9958,8.153694146192741,60612,1,1,1350.7412,0.32168163848535364,0.24029530840676352,4214.600596985779,"list(list(c(-118.277285, -118.26529, -118.265264, -118.265295, -118.266672, -118.266686, -118.265999, -118.266016, -118.266024, -118.266733, -118.266803, -118.268812, -118.272473, -118.271936, -118.271202, -118.270685, -118.270593, -118.270559, -118.27061, -118.270474, -118.273615, -118.273907, -118.276295, -118.276442, -118.276103, -118.277123, -118.278022, -118.278025, -118.278068, -118.278192, -118.278224, -118.278224, -118.276915, -118.276916, -118.278224, -118.278167, -118.277422, -118.277285, 
34.259906, 34.259954, 34.25238, 34.250402, 34.250779, 34.248493, 34.243892, 34.241535, 34.240356, 34.240796, 34.231235, 34.231692, 34.232527, 34.233067, 34.233243, 34.232995, 34.23321, 34.233721, 34.233868, 34.236937, 34.241304, 34.242918, 34.245152, 34.245568, 34.246484, 34.248674, 34.249612, 34.250578, 34.250624, 34.25064, 34.250679, 34.251657, 34.251582, 34.253084, 34.253291, 34.255768, 34.259903, 34.259906)))"
06037101400,2,6037101400,"Census Tract 1014, Los Angeles County, California",3903,0.6787086856264412,0.011529592621060722,0.08634383807327696,0.0017934921854983346,0,0.0017934921854983346,0.18472969510632847,0.035101204201895976,0.2857142857142857,0.618621,2.4359935,553.0958,745.0153,8.37624970010925,72188,1,1,1298.1111,0.33259315910837817,0.32129131437355885,1602.221023988775,"list(list(c(-118.302632, -118.30264, -118.300253, -118.300254, -118.299451, -118.297919, -118.294696, -118.290104, -118.289998, -118.28968, -118.28862, -118.285924, -118.281792, -118.27975, -118.279448, -118.276103, -118.276442, -118.276295, -118.273907, -118.273615, -118.270474, -118.27061, -118.270559, -118.270593, -118.270685, -118.271202, -118.271936, -118.272473, -118.27925, -118.28606, -118.290771, -118.298841, -118.303435, -118.308004, -118.31116, -118.316241, -118.319971, -118.322382, -118.316711, 
-118.312384, -118.306485, -118.306236, -118.30796, -118.307055, -118.307037, -118.302632, 34.252388, 34.253253, 34.252869, 34.255983, 34.255978, 34.254511, 34.252336, 34.249364, 34.24928, 34.249081, 34.248614, 34.248018, 34.24778, 34.247663, 34.247566, 34.246484, 34.245568, 34.245152, 34.242918, 34.241304, 34.236937, 34.233868, 34.233721, 34.23321, 34.232995, 34.233243, 34.233067, 34.232527, 34.234081, 34.234236, 34.234821, 34.234709, 34.236527, 34.239841, 34.241379, 34.242602, 34.244959, 34.249631, 
34.248602, 34.248867, 34.248319, 34.251114, 34.252408, 34.252404, 34.2524, 34.252388)))"
06037102103,2,6037102103,"Census Tract 1021.03, Los Angeles County, California",1740,0.6402298850574712,0.01206896551724138,0.09597701149425288,0.0017241379310344827,0.0011494252873563218,0,0.21551724137931033,0.03333333333333333,0.23333333333333334,1.466533,0.45809942,240.6736,322.2706,8.896518356036994,74868,1,1,562.9442,0.3235311494252874,0.35977011494252875,3798.3021240236453,"list(list(c(-118.343352, -118.345189, -118.350938, -118.354267, -118.355623, -118.355802, -118.356402, -118.357824, -118.359691, -118.359213, -118.365326, -118.362798, -118.362588, -118.350663, -118.343352, 34.225875, 34.223647, 34.221155, 34.221259, 34.220033, 34.219923, 34.219607, 34.220766, 34.221554, 34.222386, 34.228703, 34.228665, 34.228662, 34.228503, 34.225875)))"
06037102104,2,6037102104,"Census Tract 1021.04, Los Angeles County, California",3648,0.6680372807017544,0.023574561403508772,0.1288377192982456,8.223684210526315e-4,8.223684210526315e-4,0.001918859649122807,0.14610745614035087,0.02987938596491228,0.1524628616106333,2.197521,0.64094969,500.8059,681.4292,9.614529267405535,85492,1,1,1182.2351,0.3240776041666667,0.3319627192982456,5691.5543558496765,"list(list(c(-118.355623, -118.354267, -118.350938, -118.345189, -118.343352, -118.341288, -118.338059, -118.343913, -118.344121, -118.344119, -118.341153, -118.338239, -118.335599, -118.335128, -118.334845, -118.335218, -118.336417, -118.336032, -118.336929, -118.337595, -118.339813, -118.339829, -118.339843, -118.33993, -118.341347, -118.343007, -118.345089, -118.348501, -118.350582, -118.351867, -118.354116, -118.355051, -118.356402, -118.355802, -118.355623, 34.220033, 34.221259, 34.221155, 34.223647, 
34.225875, 34.224537, 34.222275, 34.222301, 34.216998, 34.213834, 34.213766, 34.216754, 34.217674, 34.216753, 34.215514, 34.215383, 34.214568, 34.214309, 34.213387, 34.212703, 34.210942, 34.210319, 34.210109, 34.206503, 34.206527, 34.206557, 34.209277, 34.212309, 34.214101, 34.21512, 34.217044, 34.218068, 34.219607, 34.219923, 34.220033)))"
06037102105,4,6037102105,"Census Tract 1021.05, Los Angeles County, California",1731,0.2385904101675332,0.008665511265164644,0.0803004043905257,0.0011554015020219526,0,0.0017331022530329288,0.6562680531484691,0.013287117273252455,0.3719165085388994,3.516706,0.19004798,325.4655,686.5367,10.53106718659401,51705,2,2,1012.0022,0.5846344309647603,0.7614095898324669,9108.226248971443,"list(list(c(-118.353021, -118.352935, -118.352187, -118.352011, -118.351867, -118.350582, -118.348501, -118.345089, -118.343007, -118.343276, -118.34971, -118.350369, -118.353092, -118.353021, 34.213961, 34.214086, 34.214773, 34.214963, 34.21512, 34.214101, 34.212309, 34.209277, 34.206557, 34.206562, 34.206662, 34.206672, 34.208528, 34.213961)))"
06037102107,2,6037102107,"Census Tract 1021.07, Los Angeles County, California",3851,0.5998441963126461,0.02648662685016879,0.07218904180732277,0.003895092183848351,0.0033757465593352376,0.0023370553103090105,0.26980005193456247,0.022072189041807324,0.3033884948778566,0.298329,4.9840258,500.7274,711.5261,8.607414903925761,54958,1,1,1212.2535,0.3147892755128538,0.40015580368735393,772.668552397943,"list(list(c(-118.362178, -118.357469, -118.351326, -118.348423, -118.347249, -118.344977, -118.340813, -118.339444, -118.329998, -118.324561, -118.322382, -118.319971, -118.316241, -118.31116, -118.308004, -118.303435, -118.298841, -118.290771, -118.292037, -118.297249, -118.299165, -118.304507, -118.309385, -118.318031, -118.318046, -118.326586, -118.33547, -118.335235, -118.338492, -118.338059, -118.341288, -118.343352, -118.350663, -118.362588, -118.362798, -118.365326, -118.366475, -118.367123, 
-118.367539, -118.367582, -118.367861, -118.367881, -118.367856, -118.36777, -118.367606, -118.366787, -118.36659, -118.366452, -118.365892, -118.362178, 34.245999, 34.247053, 34.247332, 34.248153, 34.249149, 34.253116, 34.259493, 34.26024, 34.259677, 34.254031, 34.249631, 34.244959, 34.242602, 34.241379, 34.239841, 34.236527, 34.234709, 34.234821, 34.233878, 34.232604, 34.232613, 34.233704, 34.233493, 34.230466, 34.232079, 34.232206, 34.232027, 34.224491, 34.223343, 34.222275, 34.224537, 34.225875, 
34.228503, 34.228662, 34.228665, 34.228703, 34.22992, 34.234213, 34.236966, 34.237255, 34.239106, 34.239299, 34.23992, 34.240369, 34.240853, 34.242452, 34.242819, 34.243021, 34.243667, 34.245999)))"
06037103101,2,6037103101,"Census Tract 1031.01, Los Angeles County, California",2670,0.6595505617977528,0.006741573033707865,0.08913857677902622,0.00299625468164794,0.0011235955056179776,0.0026217228464419477,0.21198501872659176,0.025842696629213482,0.14161220043572983,1.315393,0.78371444,382.6322,514.6361,7.496834948864706,64792,1,1,897.2683000000001,0.3360555430711611,0.34044943820224716,3406.8531390081316,"list(list(c(-118.29697, -118.299749, -118.299696, -118.303306, -118.302753, -118.297322, -118.297917, -118.302671, -118.307036, -118.3114, -118.313995, -118.315727, -118.315734, -118.315025, -118.31731, -118.316396, -118.316157, -118.317144, -118.311675, -118.306337, -118.305908, -118.29697, 34.278807, 34.276706, 34.275262, 34.273462, 34.272001, 34.267855, 34.266849, 34.266931, 34.266945, 34.266961, 34.266967, 34.266971, 34.270526, 34.274199, 34.273632, 34.275219, 34.277992, 34.278777, 34.278729, 
34.282013, 34.278783, 34.278807)))"
