OBJECTID,GEOID10,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,06059076208,1,559,503100.000000000000000,8.145685195922852,8.808876991271973,0.663191795349121,8.379910083490962,0.159855206813313,4684.369736671447754
2,06059011601,2,1281,1152900.000000000000000,8.895056724548340,10.082693099975586,1.187636375427246,9.515174240362448,0.322045850606897,12188.938201904296875
3,06059011602,3,6139,5525100.000000000000000,8.992815017700195,10.277764320373535,1.284949302673340,9.613593557133777,0.272989951862032,59017.850847244262695
4,06059011200,4,1750,1575000.000000000000000,9.032311439514160,9.974242210388184,0.941930770874023,9.496215139661517,0.206399866508057,16618.376494407653809
5,06059086602,5,1275,1147500.000000000000000,8.674425125122070,9.677807807922363,1.003382682800293,9.129013418309828,0.212225154012594,11639.492108345031738
6,06059001103,6,1516,1364400.000000000000000,8.746915817260742,9.376517295837402,0.629601478576660,9.089482827048188,0.171210858078687,13779.655965805053711
7,06059086902,7,1458,1312200.000000000000000,9.139608383178711,9.564161300659180,0.424552917480469,9.388217646725710,0.094261320970550,13688.021328926086426
8,06059110402,8,2185,1966500.000000000000000,8.955325126647949,9.566372871398926,0.611047744750977,9.298098681556825,0.164972951828599,20316.345619201660156
9,06059011722,10,1508,1357200.000000000000000,8.472335815429688,9.864250183105469,1.391914367675781,9.246653432238956,0.399766363767197,13943.953375816345215
10,06059086601,11,1367,1230300.000000000000000,9.019404411315918,10.072377204895020,1.052972793579102,9.634352028936735,0.328457591447636,13170.159223556518555
11,06059011503,14,969,872100.000000000000000,9.050680160522461,9.675453186035156,0.624773025512695,9.312663642245550,0.113478239724546,9023.971069335937500
12,06059011402,15,1124,1011600.000000000000000,8.786679267883301,9.656412124633789,0.869732856750488,9.166348648240982,0.248433079970163,10302.975880622863770
13,06059086304,16,1417,1275300.000000000000000,8.573717117309570,9.480313301086426,0.906596183776855,9.015851592209950,0.287930135927907,12775.461706161499023
14,06059011711,17,1255,1129500.000000000000000,8.552973747253418,9.413947105407715,0.860973358154297,8.937804345970610,0.168547832642417,11216.944454193115234
15,06059110108,18,2288,2059200.000000000000000,9.674183845520020,10.536746978759766,0.862563133239746,9.840602941029555,0.110230170377788,22515.299529075622559
16,06059110006,19,1444,1299600.000000000000000,8.714150428771973,10.390971183776855,1.676820755004883,9.608069377592726,0.315407074677913,13874.052181243896484
17,06059001102,20,1137,1023300.000000000000000,8.863083839416504,9.396701812744141,0.533617973327637,9.130517797713335,0.110703327408337,10381.398736000061035
18,06059021905,21,3271,2943900.000000000000000,8.560167312622070,9.812676429748535,1.252509117126465,9.243515889603076,0.184392624982737,30235.540474891662598
19,06059021924,25,2241,2016900.000000000000000,8.640182495117188,10.090016365051270,1.449833869934082,9.459582957344788,0.390480924682044,21198.925407409667969
20,06059086301,27,2056,1850400.000000000000000,8.531401634216309,8.903960227966309,0.372558593750000,8.729429863770184,0.063677754442535,17947.707799911499023
21,06059087200,28,2383,2144700.000000000000000,8.646785736083984,9.834871292114258,1.188085556030273,9.232710530164608,0.345728596077990,22001.549193382263184
